"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2025","94.23","94.00","95.27","93.73","27.21M","0.75%"
"12/18/2025","93.53","94.39","94.60","93.50","25.28M","-1.76%"
"12/17/2025","95.21","94.50","95.70","93.68","27.28M","1.02%"
"12/16/2025","94.25","95.50","95.70","94.14","25.88M","-1.34%"
"12/15/2025","95.53","96.55","97.16","95.53","29.33M","-1.52%"
"12/12/2025","97.00","96.20","97.70","95.65","55.46M","0.80%"
"12/11/2025","96.23","96.98","97.12","95.85","25.09M","-0.25%"
"12/10/2025","96.47","95.60","96.65","94.90","19.84M","0.46%"
"12/09/2025","96.03","96.21","96.66","95.70","16.32M","-0.52%"
"12/08/2025","96.53","96.21","97.15","96.21","24.78M","0.57%"
"12/05/2025","95.98","95.29","96.22","94.71","21.16M","0.78%"
"12/04/2025","95.24","94.92","95.29","94.20","16.61M","0.20%"
"12/03/2025","95.05","96.64","96.65","94.89","23.16M","-1.62%"
"12/02/2025","96.62","96.42","97.80","96.25","35.92M","0.89%"
"12/01/2025","95.77","95.39","96.30","95.14","23.37M","0.63%"
"11/28/2025","95.17","94.60","95.23","94.20","21.94M","0.93%"
"11/27/2025","94.29","94.60","95.16","94.22","20.23M","-0.84%"
"11/26/2025","95.09","94.75","95.44","94.45","30.66M","1.26%"
"11/25/2025","93.91","94.00","95.38","93.70","27.75M","-0.02%"
"11/24/2025","93.93","93.10","94.41","92.20","32.73M","1.33%"
"11/21/2025","92.70","92.49","94.39","91.70","45.17M","-0.97%"
"11/20/2025","93.61","95.17","95.50","93.50","39.18M","-1.64%"
"11/19/2025","95.17","96.40","96.66","95.01","34.83M","-1.37%"
"11/18/2025","96.49","97.54","97.85","96.02","30.48M","-1.62%"
"11/17/2025","98.08","97.80","98.59","97.25","20.72M","-0.29%"
"11/14/2025","98.37","99.00","100.50","98.33","34.30M","-1.46%"
"11/13/2025","99.83","97.01","100.50","97.01","58.00M","2.11%"
"11/12/2025","97.77","98.80","98.99","97.54","26.06M","-0.95%"
"11/11/2025","98.71","99.50","99.78","98.14","31.99M","-0.68%"
"11/10/2025","99.39","97.35","100.35","97.35","55.49M","2.25%"
"11/07/2025","97.20","97.00","98.15","96.83","32.26M","-0.33%"
"11/06/2025","97.52","95.58","97.75","95.40","40.20M","1.80%"
"11/05/2025","95.80","96.66","96.66","94.73","58.72M","-2.04%"
"11/04/2025","97.80","99.00","99.54","97.71","43.50M","-1.81%"
"11/03/2025","99.60","100.79","100.99","98.50","55.17M","-1.18%"
"10/31/2025","100.79","101.00","101.32","100.00","63.71M","-2.72%"
"10/30/2025","103.61","104.00","104.86","103.50","35.90M","-0.87%"
"10/29/2025","104.52","103.73","105.18","103.00","39.73M","0.77%"
"10/28/2025","103.72","104.02","104.32","103.50","26.54M","-0.28%"
"10/27/2025","104.01","104.00","104.97","103.88","34.60M","0.24%"
"10/24/2025","103.76","103.98","104.37","103.61","30.55M","0.07%"
"10/23/2025","103.69","103.30","103.73","102.00","37.86M","-0.09%"
"10/22/2025","103.78","104.10","104.32","103.37","35.79M","-0.94%"
"10/21/2025","104.76","104.69","105.07","104.24","29.91M","0.23%"
"10/20/2025","104.52","105.22","105.63","104.08","35.56M","0.09%"
"10/17/2025","104.43","106.60","106.63","104.26","62.57M","-2.37%"
"10/16/2025","106.96","107.00","109.30","106.51","52.31M","-0.13%"
"10/15/2025","107.10","106.45","107.51","105.50","47.58M","1.05%"
"10/14/2025","105.99","106.68","109.36","105.62","76.78M","0.28%"
"10/13/2025","105.69","105.00","105.98","104.10","74.44M","-1.95%"
"10/10/2025","107.79","110.55","110.55","107.58","59.01M","-2.54%"
"10/09/2025","110.60","108.67","112.48","108.07","100.87M","1.27%"
"09/30/2025","109.21","108.19","109.98","107.76","56.78M","0.55%"
"09/29/2025","108.61","107.00","109.14","106.39","61.40M","1.23%"
"09/26/2025","107.29","107.45","111.23","107.00","75.66M","-0.20%"
"09/25/2025","107.50","105.34","108.80","104.87","69.35M","1.69%"
"09/24/2025","105.71","105.00","105.83","104.00","54.82M","0.10%"
"09/23/2025","105.60","107.45","107.69","104.64","65.10M","-2.21%"
"09/22/2025","107.99","108.87","108.91","107.15","49.16M","-1.01%"
"09/19/2025","109.09","109.80","110.80","109.00","47.30M","-0.57%"
"09/18/2025","109.71","110.99","112.80","108.56","93.40M","-1.15%"
"09/17/2025","110.99","108.20","112.00","108.20","98.12M","2.96%"
"09/16/2025","107.80","109.00","109.00","107.22","53.32M","-0.83%"
"09/15/2025","108.70","106.00","110.85","106.00","97.48M","2.63%"
"09/12/2025","105.91","106.60","107.58","105.90","45.59M","-0.64%"
"09/11/2025","106.59","105.25","106.60","104.89","53.78M","1.32%"
"09/10/2025","105.20","105.52","106.45","105.02","32.24M","-0.27%"
"09/09/2025","105.49","106.00","107.20","105.27","38.16M","-0.72%"
"09/08/2025","106.25","106.15","107.13","105.51","55.59M","-0.94%"
"09/05/2025","107.26","103.86","107.50","103.11","78.75M","3.13%"
"09/04/2025","104.00","106.59","107.09","103.71","81.57M","-2.99%"
"09/03/2025","107.21","110.50","110.73","107.01","73.52M","-2.55%"
"09/02/2025","110.02","108.79","111.10","108.60","77.32M","0.29%"
"09/01/2025","109.70","108.50","111.48","108.50","132.99M","-3.82%"
"08/29/2025","114.06","108.88","116.59","108.12","114.49M","4.34%"
"08/28/2025","109.32","109.39","110.19","107.11","76.25M","-1.23%"
"08/27/2025","110.68","113.96","114.06","110.66","68.97M","-2.70%"
"08/26/2025","113.75","111.75","114.69","110.71","69.29M","1.92%"
"08/25/2025","111.61","111.31","112.49","110.31","61.16M","0.86%"
"08/22/2025","110.66","107.11","110.97","107.11","76.31M","3.32%"
"08/21/2025","107.10","107.80","108.83","107.00","44.95M","-1.06%"
"08/20/2025","108.25","107.18","108.26","106.01","38.51M","0.58%"
"08/19/2025","107.63","108.67","108.92","107.18","38.97M","-0.68%"
"08/18/2025","108.37","105.66","109.49","105.66","61.93M","2.17%"
"08/15/2025","106.07","105.85","106.64","105.32","36.14M","-0.28%"
"08/14/2025","106.37","107.37","107.50","105.79","41.95M","-0.43%"
"08/13/2025","106.83","106.29","107.65","105.84","45.98M","1.10%"
"08/12/2025","105.67","105.40","106.43","104.70","31.22M","0.14%"
"08/11/2025","105.52","103.88","105.66","103.23","35.67M","1.53%"
"08/08/2025","103.93","105.00","105.03","103.91","32.66M","-1.33%"
"08/07/2025","105.33","104.27","106.43","104.16","42.88M","0.94%"
"08/06/2025","104.35","104.86","105.00","103.90","30.56M","-0.49%"
"08/05/2025","104.86","104.88","105.21","103.78","33.83M","-0.02%"
"08/04/2025","104.88","104.00","105.14","102.57","41.29M","-0.87%"
"08/01/2025","105.80","104.95","106.24","104.36","36.23M","0.53%"
"07/31/2025","105.24","108.20","108.20","105.00","59.95M","-3.18%"
"07/30/2025","108.70","108.05","111.16","107.12","52.48M","-2.44%"
"07/29/2025","111.42","112.01","112.50","109.77","38.74M","-0.81%"
"07/28/2025","112.33","112.64","113.03","111.84","35.12M","-0.28%"
"07/25/2025","112.64","113.67","113.80","111.67","47.11M","-1.40%"
"07/24/2025","114.24","112.69","115.51","112.54","56.72M","1.38%"
"07/23/2025","112.69","114.03","114.33","112.33","47.67M","-1.06%"
"07/22/2025","113.90","111.67","114.00","111.07","64.25M","2.27%"
"07/21/2025","111.37","109.33","111.37","109.09","46.18M","1.52%"
"07/18/2025","109.70","109.71","109.83","108.42","41.06M","0.33%"
"07/17/2025","109.34","108.33","109.57","108.03","47.07M","1.33%"
"07/16/2025","107.91","107.69","108.64","107.69","33.23M","0.21%"
"07/15/2025","107.68","106.07","108.33","106.00","48.84M","1.43%"
"07/14/2025","106.16","107.97","107.97","105.85","51.69M","-1.67%"
"07/11/2025","107.97","106.63","108.95","106.34","50.48M","0.83%"
"07/10/2025","107.08","108.60","108.70","106.28","63.01M","-1.40%"
"07/09/2025","108.60","108.97","109.40","108.59","36.49M","-0.33%"
"07/08/2025","108.96","109.00","109.93","108.57","35.08M","-0.52%"
"07/07/2025","109.53","109.73","110.16","109.48","26.46M","-0.73%"
"07/04/2025","110.33","110.85","111.66","109.92","31.23M","-1.06%"
"07/03/2025","111.52","110.33","111.75","110.22","37.05M","1.18%"
"07/02/2025","110.22","110.67","111.29","109.64","27.98M","-0.21%"
"07/01/2025","110.45","110.10","111.12","109.60","26.56M","-0.17%"
"06/30/2025","110.64","111.41","111.41","109.53","43.20M","-0.70%"
"06/27/2025","111.41","111.33","112.24","111.15","41.59M","-0.95%"
"06/26/2025","112.48","114.77","114.77","112.28","61.48M","-3.39%"
"06/25/2025","116.42","115.33","116.58","114.34","37.72M","1.72%"
"06/24/2025","114.46","113.74","115.40","113.74","43.41M","1.53%"
"06/23/2025","112.73","112.28","113.24","111.20","28.38M","-0.60%"
"06/20/2025","113.42","113.34","114.32","113.27","22.06M","-0.07%"
"06/19/2025","113.50","114.68","115.10","113.45","30.11M","-1.86%"
"06/18/2025","115.65","114.27","116.40","113.99","30.87M","0.93%"
"06/17/2025","114.58","114.67","115.47","114.13","21.01M","-0.20%"
