"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2025","13.47","13.31","13.48","13.28","61.64M","1.13%"
"12/18/2025","13.32","13.38","13.47","13.25","52.60M","0.08%"
"12/17/2025","13.31","13.63","13.66","13.29","58.32M","-2.63%"
"12/16/2025","13.67","13.72","13.99","13.57","69.41M","0.15%"
"12/15/2025","13.65","13.80","13.81","13.49","53.58M","-0.80%"
"12/12/2025","13.76","13.67","13.84","13.67","48.34M","0.95%"
"12/11/2025","13.63","13.39","13.68","13.30","59.01M","1.64%"
"12/10/2025","13.41","13.08","13.42","13.07","72.21M","2.52%"
"12/09/2025","13.08","13.13","13.22","13.06","33.35M","-0.46%"
"12/08/2025","13.14","13.07","13.16","12.94","45.58M","0.84%"
"12/05/2025","13.03","13.15","13.28","13.00","54.10M","-0.84%"
"12/04/2025","13.14","13.19","13.24","13.06","47.55M","0.38%"
"12/03/2025","13.09","12.99","13.14","12.96","45.36M","1.00%"
"12/02/2025","12.96","13.19","13.19","12.87","57.64M","-1.52%"
"12/01/2025","13.16","13.19","13.39","13.13","51.59M","-0.90%"
"11/28/2025","13.28","13.20","13.34","13.18","29.54M","0.68%"
"11/26/2025","13.19","13.17","13.26","13.12","44.94M","0.15%"
"11/25/2025","13.17","12.99","13.26","12.98","52.88M","1.62%"
"11/24/2025","12.96","12.84","12.98","12.82","52.94M","1.01%"
"11/21/2025","12.83","12.51","12.94","12.49","74.05M","3.38%"
"11/20/2025","12.41","12.91","13.01","12.38","95.86M","-3.80%"
"11/19/2025","12.90","13.03","13.15","12.86","49.62M","-0.92%"
"11/18/2025","13.02","12.87","13.09","12.76","70.22M","1.09%"
"11/17/2025","12.88","13.18","13.18","12.78","73.40M","-2.35%"
"11/14/2025","13.19","13.18","13.31","13.10","67.93M","-0.68%"
"11/13/2025","13.28","13.40","13.50","13.25","71.48M","-1.26%"
"11/12/2025","13.45","13.30","13.50","13.30","61.84M","1.13%"
"11/11/2025","13.30","13.19","13.44","13.19","79.74M","1.06%"
"11/10/2025","13.16","13.23","13.23","13.00","62.05M","-0.38%"
"11/07/2025","13.21","12.96","13.24","12.95","80.01M","0.69%"
"11/06/2025","13.12","13.14","13.26","12.98","82.29M","0.08%"
"11/05/2025","13.11","12.92","13.31","12.88","79.13M","2.50%"
"11/04/2025","12.79","12.91","12.93","12.75","70.36M","-1.69%"
"11/03/2025","13.01","13.10","13.10","12.90","80.42M","-0.91%"
"10/31/2025","13.13","13.04","13.17","12.99","68.86M","0.54%"
"10/30/2025","13.06","13.14","13.29","13.06","80.77M","-1.36%"
"10/29/2025","13.24","13.10","13.39","13.07","127.51M","0.84%"
"10/28/2025","13.13","13.24","13.28","13.04","96.74M","-0.98%"
"10/27/2025","13.26","13.80","13.80","13.21","140.86M","-4.19%"
"10/24/2025","13.84","12.73","13.97","12.71","298.37M","12.16%"
"10/23/2025","12.34","12.47","12.49","12.19","479.84M","-0.72%"
"10/22/2025","12.43","12.53","12.60","12.28","415.06M","-1.04%"
"10/21/2025","12.56","12.26","12.63","12.07","297.15M","4.75%"
"10/20/2025","11.99","11.93","12.08","11.91","77.88M","0.59%"
"10/17/2025","11.92","11.74","12.01","11.72","107.63M","1.53%"
"10/16/2025","11.74","11.74","11.79","11.64","108.70M","-0.17%"
"10/15/2025","11.76","11.68","11.78","11.64","88.96M","0.94%"
"10/14/2025","11.65","11.38","11.76","11.34","89.12M","0.95%"
"10/13/2025","11.54","11.49","11.63","11.46","73.94M","1.14%"
"10/10/2025","11.41","11.55","11.59","11.35","84.60M","-0.78%"
"10/09/2025","11.50","11.74","11.77","11.48","70.32M","-2.04%"
"10/08/2025","11.74","11.98","12.01","11.68","78.47M","-1.51%"
"10/07/2025","11.92","12.50","12.53","11.74","154.39M","-6.14%"
"10/06/2025","12.70","12.63","12.80","12.48","90.54M","0.24%"
"10/03/2025","12.67","12.24","12.67","12.20","100.78M","3.68%"
"10/02/2025","12.22","12.28","12.43","12.12","74.53M","-0.41%"
"10/01/2025","12.27","12.12","12.28","12.04","73.58M","2.59%"
"09/30/2025","11.96","12.11","12.20","11.91","70.77M","-1.08%"
"09/29/2025","12.09","12.10","12.12","11.89","83.33M","0.67%"
"09/26/2025","12.01","11.65","12.31","11.65","117.68M","3.36%"
"09/25/2025","11.62","11.54","11.65","11.37","67.66M","-0.09%"
"09/24/2025","11.63","11.73","11.83","11.59","60.19M","-0.85%"
"09/23/2025","11.73","11.70","11.93","11.69","55.67M","0.60%"
"09/22/2025","11.66","11.60","11.70","11.56","58.43M","0.34%"
"09/19/2025","11.62","11.77","11.80","11.59","71.68M","-1.02%"
"09/18/2025","11.74","11.69","11.78","11.62","55.04M","0.69%"
"09/17/2025","11.66","11.63","11.88","11.55","68.59M","0.43%"
"09/16/2025","11.61","11.69","11.78","11.51","58.06M","-0.60%"
"09/15/2025","11.68","11.74","11.76","11.61","47.94M","0.00%"
"09/12/2025","11.68","11.75","11.81","11.66","50.10M","-0.68%"
"09/11/2025","11.76","11.46","11.79","11.43","64.20M","2.98%"
"09/10/2025","11.42","11.49","11.52","11.31","47.02M","-0.61%"
"09/09/2025","11.49","11.67","11.68","11.45","41.26M","-1.71%"
"09/08/2025","11.69","11.75","11.75","11.58","39.73M","-0.43%"
"09/05/2025","11.74","11.71","11.91","11.66","47.55M","0.51%"
"09/04/2025","11.68","11.65","11.70","11.57","33.14M","0.52%"
"09/03/2025","11.62","11.67","11.73","11.57","47.73M","-0.85%"
"09/02/2025","11.72","11.76","11.89","11.64","57.70M","-0.42%"
"08/29/2025","11.77","11.74","11.83","11.72","44.07M","0.51%"
"08/28/2025","11.71","11.98","11.99","11.63","47.72M","-1.68%"
"08/27/2025","11.91","11.82","11.98","11.81","40.38M","0.59%"
"08/26/2025","11.84","11.81","11.87","11.77","48.61M","0.17%"
"08/25/2025","11.82","11.72","11.85","11.68","45.04M","0.68%"
"08/22/2025","11.74","11.39","11.77","11.39","58.54M","3.62%"
"08/21/2025","11.33","11.42","11.43","11.19","51.78M","-1.39%"
"08/20/2025","11.49","11.52","11.60","11.47","46.47M","-0.78%"
"08/19/2025","11.58","11.52","11.73","11.49","58.02M","1.05%"
"08/18/2025","11.46","11.40","11.48","11.37","37.11M","0.17%"
"08/15/2025","11.44","11.43","11.52","11.41","46.14M","0.00%"
"08/14/2025","11.44","11.30","11.45","11.22","52.47M","0.00%"
"08/13/2025","11.44","11.27","11.49","11.19","63.82M","1.69%"
"08/12/2025","11.25","11.20","11.32","11.13","64.02M","0.99%"
"08/11/2025","11.14","11.30","11.57","11.06","84.33M","-1.59%"
"08/08/2025","11.32","11.31","11.37","11.21","48.47M","0.35%"
"08/07/2025","11.28","11.30","11.39","11.10","71.77M","0.62%"
"08/06/2025","11.21","11.11","11.26","11.08","59.52M","1.36%"
"08/05/2025","11.06","10.98","11.10","10.90","58.86M","1.00%"
"08/04/2025","10.95","10.89","11.02","10.86","56.70M","1.20%"
"08/01/2025","10.82","10.92","10.92","10.68","73.54M","-2.26%"
"07/31/2025","11.07","10.77","11.15","10.68","101.09M","1.84%"
"07/30/2025","10.87","11.13","11.13","10.82","79.87M","-1.90%"
"07/29/2025","11.08","11.29","11.29","11.06","58.37M","-1.77%"
"07/28/2025","11.28","11.48","11.49","11.25","54.17M","-1.66%"
"07/25/2025","11.47","11.34","11.49","11.24","52.31M","1.87%"
"07/24/2025","11.26","11.31","11.43","11.23","63.56M","-1.05%"
"07/23/2025","11.38","11.28","11.46","11.28","76.16M","1.70%"
"07/22/2025","11.19","11.24","11.29","11.08","79.40M","-1.06%"
"07/21/2025","11.31","11.26","11.45","11.21","65.52M","1.34%"
"07/18/2025","11.16","11.17","11.24","11.05","68.81M","0.09%"
"07/17/2025","11.15","11.19","11.35","11.11","70.35M","-0.80%"
"07/16/2025","11.24","11.35","11.45","11.15","107.98M","-2.85%"
"07/15/2025","11.57","11.90","11.93","11.52","65.10M","-2.61%"
"07/14/2025","11.88","11.76","11.90","11.67","62.10M","0.85%"
"07/11/2025","11.78","11.85","11.86","11.71","65.34M","-1.09%"
"07/10/2025","11.91","11.86","11.97","11.78","67.26M","0.68%"
"07/09/2025","11.83","11.78","11.90","11.76","63.89M","1.28%"
"07/08/2025","11.68","11.65","11.85","11.64","74.19M","0.78%"
"07/07/2025","11.59","11.60","11.79","11.48","73.84M","-1.86%"
"07/03/2025","11.81","11.75","11.96","11.75","60.31M","0.34%"
"07/02/2025","11.77","11.38","11.78","11.37","122.33M","3.70%"
"07/01/2025","11.35","10.81","11.38","10.79","140.15M","4.61%"
"06/30/2025","10.85","10.72","10.86","10.69","88.47M","0.46%"
"06/27/2025","10.80","10.70","10.92","10.68","182.01M","1.60%"
"06/26/2025","10.63","10.50","10.65","10.47","88.42M","1.43%"
"06/25/2025","10.48","10.76","10.77","10.42","91.93M","-2.33%"
"06/24/2025","10.73","10.79","10.87","10.72","77.24M","-0.19%"
"06/23/2025","10.75","10.55","10.75","10.53","77.58M","1.51%"
"06/20/2025","10.59","10.49","10.60","10.46","116.74M","1.53%"
"06/18/2025","10.43","10.43","10.53","10.40","82.77M","0.10%"
"06/17/2025","10.42","10.59","10.63","10.38","100.97M","-1.88%"
"06/16/2025","10.62","10.50","10.67","10.50","75.20M","1.82%"
"06/13/2025","10.43","10.47","10.51","10.38","90.11M","-0.95%"
"06/12/2025","10.53","10.58","10.59","10.43","76.39M","-1.22%"
"06/11/2025","10.66","10.64","10.77","10.61","93.09M","0.57%"
"06/10/2025","10.60","10.38","10.65","10.36","87.96M","2.51%"
"06/09/2025","10.34","10.29","10.45","10.29","63.64M","0.78%"
"06/06/2025","10.26","10.16","10.35","10.15","105.92M","1.58%"
"06/05/2025","10.10","10.20","10.25","10.03","133.27M","-1.37%"
"06/04/2025","10.24","10.19","10.36","10.18","123.19M","0.49%"
"06/03/2025","10.19","9.97","10.23","9.89","121.58M","2.10%"
"06/02/2025","9.98","10.27","10.28","9.88","170.34M","-3.85%"
"05/30/2025","10.38","10.18","10.46","10.12","152.19M","1.57%"
"05/29/2025","10.22","10.21","10.28","10.11","101.69M","0.49%"
"05/28/2025","10.17","10.32","10.34","10.15","102.34M","-1.36%"
"05/27/2025","10.31","10.45","10.49","10.21","89.07M","-0.48%"
"05/23/2025","10.36","10.30","10.41","10.29","80.52M","-0.77%"
