"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2025","59.840","59.800","60.290","59.460","4.07M","0.27%"
"12/18/2025","59.680","59.800","60.080","59.370","2.42M","-0.67%"
"12/17/2025","60.080","60.550","60.600","59.640","1.57M","-0.40%"
"12/16/2025","60.320","60.320","61.780","60.120","1.99M","-1.03%"
"12/15/2025","60.950","61.940","62.330","60.800","1.85M","-1.20%"
"12/12/2025","61.690","61.300","61.810","61.180","1.41M","0.88%"
"12/11/2025","61.150","60.980","61.430","59.820","1.70M","0.68%"
"12/10/2025","60.740","60.720","61.500","60.510","1.84M","-0.56%"
"12/09/2025","61.080","61.460","61.780","60.930","1.53M","-0.68%"
"12/08/2025","61.500","61.310","62.030","61.270","1.68M","-0.16%"
"12/05/2025","61.600","60.210","61.680","60.170","2.97M","1.95%"
"12/04/2025","60.420","58.180","60.540","58.180","3.36M","4.80%"
"12/03/2025","57.650","59.080","59.600","56.880","2.75M","-2.67%"
"12/02/2025","59.230","58.860","59.930","58.670","1.44M","0.27%"
"12/01/2025","59.070","58.200","59.420","58.180","2.44M","1.56%"
"11/28/2025","58.160","58.100","58.480","57.780","1.44M","0.05%"
"11/27/2025","58.130","57.390","58.430","57.300","1.08M","1.10%"
"11/26/2025","57.500","58.090","58.260","57.340","1.19M","-1.24%"
"11/25/2025","58.220","57.610","58.320","56.940","1.65M","1.27%"
"11/24/2025","57.490","58.090","58.160","57.270","3.14M","0.82%"
"11/21/2025","57.020","56.260","57.350","56.020","2.14M","0.72%"
"11/20/2025","56.610","57.000","57.120","55.970","1.82M","-0.61%"
"11/19/2025","56.960","56.360","57.380","56.250","1.50M","0.76%"
"11/18/2025","56.530","57.600","57.930","56.220","2.69M","-3.40%"
"11/17/2025","58.520","59.330","59.680","58.380","1.74M","-1.75%"
"11/14/2025","59.560","59.420","59.560","58.720","2.11M","-0.38%"
"11/13/2025","59.790","59.750","60.120","59.220","1.60M","0.59%"
"11/12/2025","59.440","59.300","60.000","59.040","2.54M","1.14%"
"11/11/2025","58.770","58.630","58.910","57.850","1.47M","0.55%"
"11/10/2025","58.450","58.940","59.110","58.370","1.87M","0.15%"
"11/07/2025","58.360","58.500","59.050","58.190","1.93M","0.29%"
"11/06/2025","58.190","58.380","58.800","58.010","2.00M","-0.07%"
"11/05/2025","58.230","55.880","58.410","55.650","3.14M","3.54%"
"11/04/2025","56.240","57.020","57.060","55.790","2.27M","-1.87%"
"11/03/2025","57.310","56.400","58.360","56.400","2.43M","1.96%"
"10/31/2025","56.210","56.580","56.880","55.810","1.78M","-0.39%"
"10/30/2025","56.430","57.390","58.050","56.280","2.58M","-1.07%"
"10/29/2025","57.040","56.300","58.950","56.220","6.43M","4.37%"
"10/28/2025","54.650","53.730","54.930","53.460","2.53M","1.22%"
"10/27/2025","53.990","53.790","54.140","53.470","1.42M","0.45%"
"10/24/2025","53.750","53.240","53.750","52.880","1.27M","1.03%"
"10/23/2025","53.200","52.870","53.740","52.620","1.48M","0.45%"
"10/22/2025","52.960","54.100","54.100","52.070","2.54M","-2.23%"
"10/21/2025","54.170","53.790","54.560","53.430","1.46M","0.63%"
"10/20/2025","53.830","53.170","53.970","52.750","1.78M","0.86%"
"10/17/2025","53.370","52.220","53.590","51.780","2.24M","1.21%"
"10/16/2025","52.730","52.830","52.910","52.190","1.65M","0.71%"
"10/15/2025","52.360","52.710","52.710","51.950","1.61M","0.13%"
"10/14/2025","52.290","53.200","53.340","52.240","1.43M","-2.15%"
"10/13/2025","53.440","53.690","53.920","53.240","1.22M","0.45%"
"10/10/2025","53.200","54.500","54.980","52.780","2.90M","0.06%"
"10/09/2025","53.170","53.780","54.220","53.170","1.71M","-0.73%"
"10/08/2025","53.560","53.440","54.090","52.930","2.82M","-2.92%"
"10/07/2025","55.170","55.300","55.890","54.020","1.97M","-0.42%"
"10/06/2025","55.400","55.410","55.680","55.090","1.80M","-0.02%"
"10/03/2025","55.410","55.260","55.510","55.130","1.58M","0.73%"
"10/02/2025","55.010","54.550","55.580","54.500","2.37M","1.59%"
"10/01/2025","54.150","53.180","54.390","53.100","1.85M","1.27%"
"09/30/2025","53.470","53.730","53.850","53.330","1.68M","-0.78%"
"09/29/2025","53.890","53.350","53.990","53.050","1.74M","1.07%"
"09/26/2025","53.320","52.310","53.320","52.300","2.56M","2.18%"
"09/25/2025","52.180","52.540","53.650","52.090","1.97M","-0.70%"
"09/24/2025","52.550","51.540","53.460","51.110","2.70M","1.12%"
"09/23/2025","51.970","50.450","52.120","50.390","2.39M","2.32%"
"09/22/2025","50.790","50.650","50.990","49.765","2.76M","-1.34%"
"09/19/2025","51.480","51.540","52.310","51.240","5.67M","-0.16%"
"09/18/2025","51.560","51.100","51.890","51.070","2.12M","1.08%"
"09/17/2025","51.010","51.270","51.610","50.390","2.40M","-0.57%"
"09/16/2025","51.300","51.210","51.720","51.080","2.43M","-0.06%"
"09/15/2025","51.330","51.910","52.280","51.280","1.78M","-0.70%"
"09/12/2025","51.690","52.020","52.040","50.890","1.94M","-0.71%"
"09/11/2025","52.060","51.770","52.130","50.630","2.34M","0.33%"
"09/10/2025","51.890","51.600","52.060","51.350","1.93M","0.27%"
"09/09/2025","51.750","52.490","53.060","51.150","2.01M","-1.43%"
