"Date","Price","Open","High","Low","Vol.","Change %"
"12/19/2025","3,424.0","3,389.0","3,439.0","3,388.0","37.97M","1.81%"
"12/18/2025","3,363.0","3,350.0","3,384.0","3,342.0","19.19M","0.42%"
"12/17/2025","3,349.0","3,346.0","3,356.0","3,312.0","20.87M","0.57%"
"12/16/2025","3,330.0","3,380.0","3,394.0","3,329.0","28.74M","-0.60%"
"12/15/2025","3,350.0","3,243.0","3,358.0","3,242.0","31.43M","2.76%"
"12/12/2025","3,260.0","3,191.0","3,272.0","3,168.0","42.66M","4.82%"
"12/11/2025","3,110.0","3,148.0","3,160.0","3,099.0","14.24M","-0.19%"
"12/10/2025","3,116.0","3,089.0","3,137.0","3,076.0","20.33M","1.63%"
"12/09/2025","3,066.0","3,076.0","3,083.0","3,044.0","15.16M","0.20%"
"12/08/2025","3,060.0","3,050.0","3,060.0","3,021.0","15.60M","0.92%"
"12/05/2025","3,032.0","3,053.0","3,067.0","3,016.0","21.71M","-2.29%"
"12/04/2025","3,103.0","3,028.0","3,107.0","3,004.0","21.59M","3.26%"
"12/03/2025","3,005.0","3,030.0","3,040.0","2,994.0","16.54M","-1.31%"
"12/02/2025","3,045.0","3,085.0","3,090.0","3,042.0","17.88M","-1.20%"
"12/01/2025","3,082.0","3,132.0","3,133.0","3,075.0","13.23M","-1.63%"
"11/28/2025","3,133.0","3,140.0","3,140.0","3,119.0","13.07M","-0.16%"
"11/27/2025","3,138.0","3,155.0","3,165.0","3,128.0","11.11M","-0.10%"
"11/26/2025","3,141.0","3,129.0","3,158.0","3,090.0","20.62M","2.08%"
"11/25/2025","3,077.0","3,150.0","3,150.0","3,070.0","18.00M","-0.65%"
"11/21/2025","3,097.0","3,035.0","3,120.0","3,028.0","31.31M","1.74%"
"11/20/2025","3,044.0","3,095.0","3,103.0","3,044.0","17.87M","0.23%"
"11/19/2025","3,037.0","3,074.0","3,075.0","3,019.0","15.13M","0.26%"
"11/18/2025","3,029.0","3,106.0","3,114.0","3,028.0","21.66M","-2.89%"
"11/17/2025","3,119.0","3,150.0","3,164.0","3,114.0","15.67M","-1.92%"
"11/14/2025","3,180.0","3,155.0","3,180.0","3,134.0","17.30M","-0.56%"
"11/13/2025","3,198.0","3,200.0","3,215.0","3,180.0","16.41M","0.25%"
"11/12/2025","3,190.0","3,176.0","3,214.0","3,175.0","20.88M","1.37%"
"11/11/2025","3,147.0","3,148.0","3,177.0","3,129.0","17.57M","0.51%"
"11/10/2025","3,131.0","3,133.0","3,134.0","3,090.0","19.71M","0.42%"
"11/07/2025","3,118.0","3,090.0","3,128.0","3,077.0","17.77M","-0.67%"
"11/06/2025","3,139.0","3,110.0","3,182.0","3,054.0","32.76M","3.26%"
"11/05/2025","3,040.0","3,150.0","3,151.0","2,996.0","56.93M","-3.65%"
"11/04/2025","3,155.0","3,150.0","3,205.0","3,120.0","26.96M","0.54%"
"10/31/2025","3,138.0","3,190.0","3,198.0","3,121.0","25.91M","-1.48%"
"10/30/2025","3,185.0","3,148.0","3,190.0","3,125.0","23.93M","1.24%"
"10/29/2025","3,146.0","3,176.0","3,182.0","3,124.0","20.64M","-0.79%"
"10/28/2025","3,171.0","3,220.0","3,221.0","3,167.0","19.81M","-1.46%"
"10/27/2025","3,218.0","3,170.0","3,218.0","3,165.0","24.63M","2.91%"
"10/24/2025","3,127.0","3,110.0","3,136.0","3,090.0","18.84M","1.16%"
"10/23/2025","3,091.0","3,100.0","3,112.0","3,057.0","18.09M","-0.42%"
"10/22/2025","3,104.0","3,075.0","3,162.0","3,074.0","49.95M","3.29%"
"10/21/2025","3,005.0","3,017.0","3,021.0","2,988.0","16.34M","0.07%"
"10/20/2025","3,003.0","2,988.5","3,003.0","2,971.0","20.57M","2.37%"
"10/17/2025","2,933.5","2,920.0","2,960.5","2,920.0","14.32M","-0.71%"
"10/16/2025","2,954.5","2,964.0","2,979.5","2,937.5","19.60M","1.41%"
"10/15/2025","2,913.5","2,898.0","2,919.5","2,888.5","18.47M","1.46%"
"10/14/2025","2,871.5","2,848.5","2,898.0","2,831.5","24.55M","-0.93%"
"10/10/2025","2,898.5","2,926.5","2,939.5","2,891.0","25.26M","-1.66%"
"10/09/2025","2,947.5","3,000.0","3,002.0","2,935.0","28.59M","-2.04%"
"10/08/2025","3,009.0","3,050.0","3,075.0","3,000.0","31.04M","-0.46%"
"10/07/2025","3,023.0","3,000.0","3,035.0","2,997.5","31.20M","1.65%"
"10/06/2025","2,974.0","3,010.0","3,022.0","2,963.5","45.60M","4.74%"
"10/03/2025","2,839.5","2,806.0","2,840.0","2,794.0","14.01M","1.23%"
